	threshold	th	th_Low	th_Hig	cdf	cdf_Low	cdf_Hig
C3-dxr-001	2.0515	3.817	4.4045	3.4645	0.9666	0.9703	0.9619
C3-dxr-002	2.3739	4.6536	4.7357	3.4633	0.963	0.9657	0.9584
C3-dxr-003	2.4343	4.9771	5.0621	4.8921	0.9737	0.9755	0.9673
C3-dxr-004	2.4948	4.8386	4.9199	4.6759	0.9679	0.9706	0.9625
C3-dyh-001	2.0515	2.8987	3.1344	2.3389	0.9604	0.9713	0.9475
C3-dyh-002	1.9104	2.4576	2.7823	2.3764	0.9599	0.9687	0.9501
C3-dyh-003	2.3336	3.4824	3.7649	3.0742	0.9591	0.9632	0.9529
C3-dyh-004	2.5754	3.1137	3.2145	3.0129	0.9736	0.9783	0.9689
C3-dyh-005	1.9104	2.8648	3.3758	2.6413	0.9579	0.9642	0.9463
P3-wjy-001	1.709	2.7577	3.1611	2.4215	0.9514	0.9586	0.938
P3-wjy-002	1.7493	2.6338	2.9776	2.4775	0.9556	0.9627	0.9485
P3-wjy-003	1.85	2.7416	3.5749	2.217	0.9577	0.9708	0.9376
P3-wjy-004	1.8299	3.1151	3.3291	2.9368	0.9486	0.9561	0.94
P4-lmd-002	1.7291	4.5773	5.0889	3.9521	0.9512	0.956	0.9394
P4-lmd-003	2.1522	4.8201	5.1539	4.0571	0.9664	0.9687	0.9606
P4-lmd-004	2.1522	4.8201	5.1539	4.0571	0.9664	0.9687	0.9606
P4-lmd-005	1.6082	3.7543	4.5193	3.6013	0.952	0.9567	0.9439
P4-lmd-006	2.2731	5.2954	6.032	5.0498	0.97	0.9758	0.9654
P4-why-001	0.5201	1.1229	1.9464	1.064	0.717	0.8068	0.7012
P4-why-002	1.1649	2.1048	2.3069	1.741	0.915	0.9234	0.8897
P4-why-003	0.5	0.987	1.9857	0.987	0.7185	0.7998	0.7185
P4-why-004	0.5	0.8785	1.6027	0.8785	0.7367	0.8053	0.7336
P4-why-005	0.5	1.0241	1.4713	1.0241	0.7284	0.7854	0.7274
Pz-sdx-001	1.2052	3.0637	3.2849	2.8978	0.8685	0.8793	0.8449
Pz-sdx-002	0.6813	1.6687	2.744	1.131	0.7257	0.8209	0.6698
Pz-sdx-003	0.5403	1.3155	2.0186	1.1983	0.6902	0.7689	0.6759
Pz-sdx-005	0.8425	1.9607	2.4309	1.3338	0.7972	0.8376	0.7333
T3-ccw-001	1.8701	2.1399	3.6611	2.0016	0.9737	0.9922	0.9659
T3-ccw-002	2.3739	3.9922	5.2437	2.6712	0.9809	0.9852	0.9586
T3-ccw-003	2.3134	3.1319	4.2741	2.2405	0.9817	0.9888	0.9613
T3-ccw-004	2.5149	3.4914	4.4586	2.9794	0.9878	0.9898	0.9807
T3-jhy-001	2.4948	3.1068	4.0062	2.2332	0.9792	0.9829	0.963
T3-jhy-002	1.8701	2.0455	2.6035	1.9562	0.9705	0.9811	0.9632
T3-jhy-003	1.8299	2.1569	2.8055	1.6285	0.963	0.9783	0.9467
T3-lxr-001	0.8828	0.9813	1.182	0.8057	0.9231	0.9398	0.9004
T3-lxr-002	1.4269	1.5385	1.9127	1.1643	0.9623	0.97	0.9497
T3-lxr-003	1.8701	2.2637	2.8265	2.0335	0.9658	0.9709	0.9578
T3-lxr-004	1.306	1.498	1.5968	1.3002	0.9617	0.9659	0.9473
T3-lxr-005	1.6888	2.0445	2.8389	1.8651	0.9686	0.9728	0.9602
T3-wjh-001	2.7567	5.9821	6.0721	5.4422	0.9704	0.9724	0.9664
T3-wjh-002	2.7164	4.6518	5.5049	1.808	0.9758	0.9807	0.9459
T3-wjh-003	0.6813	1.0285	1.0626	0.8917	0.8962	0.9011	0.8739
T3-wjh-004	0.8627	1.4066	1.7555	1.1624	0.924	0.9402	0.8956
T3-wjh-005	2.8776	6.2521	6.2971	6.1621	0.9803	0.9822	0.9763
T3-yqq-001	1.709	2.6328	3.2319	1.8761	0.9421	0.9505	0.9224
T3-yqq-002	1.5075	2.6172	2.7247	2.4739	0.9165	0.9218	0.9058
T3-yqq-003	1.3866	1.8191	2.1484	1.435	0.9324	0.9402	0.9194
T3-yqq-004	1.6888	2.6518	2.8767	2.427	0.9326	0.9421	0.9202
T3-yqq-005	1.4672	1.9613	2.2052	1.8529	0.9396	0.95	0.9283
T3-zzx-001	1.4269	0.9592	1.0849	0.8614	0.9569	0.9707	0.939
T3-zzx-002	1.1246	0.8642	0.9474	0.8142	0.9223	0.9366	0.9046
T3-zzx-003	1.1045	0.9186	0.9907	0.8104	0.9167	0.9301	0.8909
T3-zzx-004	0.7821	0.6338	0.6934	0.5544	0.8182	0.8417	0.78
T3-zzx-005	0.8828	0.7247	0.8003	0.649	0.8669	0.8907	0.8376
T4-lxy-001	1.0239	1.9329	2.8169	1.4105	0.9321	0.9448	0.8864
T4-lxy-002	2.4545	4.2024	4.4517	3.8819	0.9652	0.9673	0.9579
T4-lxy-003	2.1522	4.1492	4.6331	3.4233	0.9561	0.9594	0.9508
T4-lxy-004	2.4948	4.7082	4.9035	4.4348	0.966	0.9713	0.9607
T4-lxy-005	2.3739	4.7343	4.8583	4.5689	0.9611	0.9642	0.9568
T4-saj-001	0.9836	1.2738	2.5637	1.0159	0.9533	0.9604	0.94
T4-sxl-001	2.8373	1.7126	1.9342	1.3556	0.984	0.9866	0.9759
T4-sxl-002	2.4948	1.4039	1.7253	1.0825	0.9787	0.984	0.9698
T4-sxl-003	2.2328	1.3193	1.6706	1.2103	0.9814	0.9839	0.9754
T4-sxl-004	2.2328	1.3908	1.5304	1.2385	0.9743	0.9786	0.9657
T4-sxl-005	2.5754	1.4704	1.8302	1.1454	0.9827	0.986	0.9761
T4-wfy-001	1.9306	1.5755	2.1731	1.1146	0.9595	0.9641	0.9534
T4-wfy-002	3.0187	1.6482	1.7484	1.2476	0.9822	0.9822	0.9793
T4-wfy-003	2.0313	1.6352	2.0736	1.0449	0.9637	0.968	0.9557
T4-wfy-004	2.5351	1.9977	2.438	1.7857	0.9674	0.972	0.9629
T4-wfy-005	2.9179	1.6417	1.8021	1.5386	0.9815	0.9815	0.9779
T4-wzr-001	1.7896	4.4065	5.3035	2.3134	0.9456	0.9576	0.9075
T4-wzr-002	1.8097	3.5189	4.418	1.6799	0.9515	0.9601	0.931
T4-wzr-003	1.3664	1.6636	1.8699	1.5088	0.9552	0.9617	0.9497
T4-wzr-004	1.2052	1.1748	1.2778	1.0512	0.9409	0.9495	0.9247
T4-wzr-005	1.1045	1.2029	1.3209	1.0614	0.9457	0.9536	0.931
T4-zjc-001	1.0037	1.3306	2.223	1.1469	0.8869	0.9046	0.8701
T4-zjc-002	2.4746	3.0277	3.0525	2.9286	0.9666	0.9737	0.9578
